1PIBIA,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,biavetta,12,500 g,€ 0.75,4%,,
1PIVER,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,vermicelli,12,500 g,€ 0.75,4%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"""MOMENTI SPECIALI"" CASTAGNO BIOLOGICI/ORGANIC ""MOMENTI SPECIALI"" CASTAGNO",,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE","FORMATO
SHAPE","PZ PER COLLO/
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
1PBNITE,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,tagliatelle a nido,12,250 g,€ 1.02,4%,,
1PINITI,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE DURUM WHEAT PASTA,tagliolini a nido,12,250 g,€ 1.02,4%,,
1TRISNITI,PASTA DI SEMOLA DI GRANO DURO CON POMODORO E BASILICO/DURUM WHEAT PASTA WITH TOMATO AND BASIL,tagliolini a nido,12,250 g,€ 1.50,4%,,
1SPINITE,PASTA DI SEMOLA DI GRANO DURO CON SPINACI/DURUM WHEAT PASTA WITH SPINACH,tagliatelle a nido,12,250 g,€ 1.38,4%,,
1PBLAS,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,lasagne,12,250 g,€ 0.97,4%,,
1PILAS,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE DURUM WHEAT PASTA,lasagne,12,250 g,€ 0.97,4%,,
1FARLAS,SPECIALITA' ALIM INTEGRALE 100% DI FARRO DICOCCUM/100% WHOLEGRAIN ITALIAN DICOCCUM SPELT SPECIALITY,lasagne,12,250 g,€ 1.61,4%,,
,,,,,,,,
,,,,,,,,
GOMASIO BIOLOGICO confezionato in vasetti con tappo dispenser /ORGANIC GOMASIO packed in pet jar with dispenser cap,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE",,"PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
3GOMA,INSAPORITORE A BASE DI SESAMO/SESAME SEASONING,,06 ,150 g,€ 1.38,10%,,
3GALG,INSAPORITORE A BASE DI SESAMO CON ALGHE/SESAME SEASONING WITH SEAWEEDS,,06,150 g,€ 1.54,10%,,
3GERB,INSAPORITORE A BASE DI SESAMO CON ERBE EROMATICHE E SPEZIE/SESAME SEASONING WITH HERBS AND SPICES,,06,150 g,€ 1.63,10%,,
3GSPI,"INSAPORITORE A BASE DI SESAMO CON SPIRULINA
SESAME SEASONING WITH SPIRULINA",,06,150 g,€ 1.56,10%,,
3GSENE,"INSAPORITORE A BASE DI SESAMO CON SESAMO NERO
SESAME SEASONING WITH BLACK SESAME SEEDS",,06,150 g,€ 1.44,10%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
FIOCCHI DI…BIOLOGICI/ORGANIC FLAKES OF…,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE",,"PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
9FIOCAVE,FIOCCHI DI AVENA/OAT FLAKES ,,12,500 g,€ 1.17,10%,,
9FIOCFAR,FIOCCHI DI FARRO/DICOCCUM SPELT FLAKES,,12,500 g,€ 1.32,10%,,
