1TRISFUS,8013885040421,1902.19.10,"DURUM WHEAT ITALIAN PASTA WITH BEETROOT AND BASIL             PASTA DI SEMOLA DI GRANO DURO CON BIETOLA E BASILICO",fusilli tricolore,12,500 g,€ 1.260,4%,,,,
1TRISPEN,8013885040414,1902.19.10,"DURUM WHEAT ITALIAN PASTA WITH BASIL AND TOMATO               PASTA DI SEMOLA DI GRANO DURO CON POMODORO E BASILICO",penne tricolore,12,500 g,€ 1.260,4%,,,,
1PREZCAP,8013885040711,1902.19.10,"DURUM WHEAT ITALIAN PASTA WITH GARLIC AND PARSLEY           PASTA DI SEMOLA DI GRANO DURO CON PREZZEMOLO E AGLIO",capellini,12,500 g,€ 1.219,4%,,,,
1POMELCOD,8013885040810,1902.19.10,"DURUM WHEAT ITALIAN PASTA WITH AUBERGINE AND TOMATO     PASTA DI SEMOLA DI GRANO DURO CON MELANZANA E POMODORO  ",codini,12,500 g,€ 1.191,4%,,,,
1AGBASCAP,8013885040919,1902.19.10,"DURUM WHEAT ITALIAN PASTA WITH GARLIC AND BASIL PASTA DI SEMOLA DI GRANO DURO CON AGLIO E BASILICO ",capellini,12,500 g,€ 1.219,4%,,,,
1VERCOR,8013885041114,1902.19.10,"DURUM WHEAT ITALIAN PASTA WITH MIX OF VEGETABLES PASTA DI SEMOLA DI GRANO DURO CON VERDURE",cornetti,12,500 g,€ 1.219,4%,,,,
1ORZUCON",8013885041435,1902.19.10,"DURUM WHEAT ITALIAN PASTA WITH NETTLE PASTA DI SEMOLA DI GRANO DURO CON ORTICHE",conchiglie,12,500 g,€ 1.219,4%,,,,
1PEPIFUS,8013885041442,1902.19.10,"DURUM WHEAT ITALIAN PASTA WITH 3 PEPPERS PASTA DI SEMOLA DI GRANO DURO CON 3 PEPI",fusilli,12,500 g,€ 1.219,4%,,,,
1RONEFUS,8013885041459,1902.19.10,"DURUM WHEAT ITALIAN PASTA WITH SWEET PEPPER PASTA DI SEMOLA DI GRANO DURO CON PEPERONE",fusilli,12,500 g,€ 1.191,4%,,,,
1ALGFUS,8013885041213,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH SEAWEEDS                                  PASTA DI SEMOLA DI GRANO DURO CON ALGHE,fusilli,12,500 g,€ 2.251,4%,,,,
1CANASED,8013885041312,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH HEMP                                            PASTA DI SEMOLA DI GRANO DURO CON CANAPA,sedani,12,500 g,€ 1.481,4%,,,,
1PBSPIFUS,8013885041411,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH SPIRULINA                                 PASTA DI SEMOLA DI GRANO DURO CON SPIRULINA,fusilli,12,500 g,€ 1.338,4%,,,,
1MARIFUS,8013885051014,1902.19.10,"CORN AND RICE ITALIAN PASTA                          PASTA DI MAIS E RISO ITALIANI",fusilli,12,250 g,€ 0.89,4%,,,,
1MARISED,8013885051021,1902.19.10,"CORN AND RICE ITALIAN PASTA                          PASTA DI MAIS E RISO ITALIANI",sedani,12,250 g,€ 0.89,4%,,,,
1FASPISPA,8013885051816,1902.30.10,"WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA WITH SPIRULINA PASTA INT DI FARRO DICOCCUM ITALIANO CON SPIRULINA",spaghetti,12,500 g,€ 2.16,10%,,,,
1KASPIPEN,8013885051915,1902.30.10,"WHOLEGRAIN KAMUT® khorasan wheat ITALIAN PASTA WITH SPIRULINA                          PASTA INT. DI grano khorasan KAMUT® CON SPIRULINA",penne,12,500 g,€ 2.38,10%,,,,
1AMCEMAR,8013885042159,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH AMARANTH AND CHICKPEAS                                                                                               PASTA DI SEMOLA DI GRANO DURO CON AMARANTO E CECI,marziani,12,250 g,€ 0.93,4%,,,,
1SOIAPEN,8013885050314,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH SOJA                                             PASTA DI SEMOLA DI GRANO DURO CON SOIA,penne,12,500 g,€ 1.25,4%,,,,
1SOIASPA,8013885050338,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH SOJA                                             PASTA DI SEMOLA DI GRANO DURO CON SOIA,spaghetti,12,500 g,€ 1.25,4%,,,,
1QTRISFUS,8013885043118,1902.19.10,"DURUM WHEAT ITALIAN PASTA WITH 10% QUINOA BEETROOT AND BASIL/PASTA DI SEMOLA DI GRANO DURO CON 10% QUINOA BIETOLA E BASILICO",3-coloured fusilli        fusilli tricolore,12,500 g,€ 1.59,4%,,,,
1QPREZCAP,8013885043125,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH 10% QUINOA PARSLEY AND GARLIC/PASTA DI SEMOLA DI GRANO DURO CON 10% QUINOA PREZZEMOLO E AGLIO,capellini,12,500 g,€ 1.60,4%,,,,
1QPOMELCOD,8013885043132,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH 10% QUINOA TOMATO AND AUBERGINE/PASTA DI SEMOLA DI GRANO DURO CON 10% QUINOA POMODORO E MELANZANA,codini,12,500 g,€ 1.51,4%,,,,
1QUIERSED,8013885043149,1902.30.10,"WHOLEGRAIN QUINOA ITALIAN PASTA WITH HERBS   PASTA ITALIANA QUINOA E ERBETTE",sedani,12,250 g,€ 3.08,10%,,,,
1FACEMAC,8013885052110,1902.30.10,"WHOLEGRAIN TRITICUM DICOCCUM SPELT - EMMER ITALIAN PASTA WITH CHICK-PEAS PASTA INT DI FARRO DICOCCUM E CECI ITALIANI",macaronis,12,500 g,€ 2.29,10%,,,,
1PBPEN,8013885010028,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,penne,12,500 g,€ 0.75,4%,,,,
1PBFUS,8013885010011,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,fusilli,12,500 g,€ 0.75,4%,,,,
1PBRIG,8013885010059,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,rigatoni,12,500 g,€ 0.75,4%,,,,
1PBCRE,8013885010127,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,creste,12,500 g,€ 0.75,4%,,,,
1PBMAR,8013885010097,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,marziani,12,500 g,€ 0.75,4%,,,,
1PBCONM,8013885010264,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,conchiglie medie,12,500 g,€ 0.75,4%,,,,
1PBBAR,8013885010363,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,baresi,12,500 g,€ 0.75,4%,,,,
1PBCOD,8013885010349,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,codini,12,500 g,€ 0.75,4%,,,,
1PBSPA,8013885010226,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,spaghetti,12,500 g,€ 0.75,4%,,,,
1PBTAG,8013885010233,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,tagliatelle,12,500 g,€ 0.75,4%,,,,
1PBCAP,8013885010240,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,capellini,12,500 g,€ 0.75,4%,,,,
1PBMAC,8013885010134,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,macaronis,12,500 g,€ 0.75,4%,,,,
1PBNOU,8013885010141,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,nouilles,12,500 g,€ 0.75,4%,,,,
1PBCOR,8013885010196,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,cornetti,12,500 g,€ 0.75,4%,,,,
1PBDIT,8013885010387,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,ditalini,12,500 g,€ 0.75,4%,,,,
1PBALFA,8013885010325,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,alfabeto,12,500 g,€ 0.75,4%,,,,
1PBSTE,8013885010189,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,stelline,12,500 g,€ 0.75,4%,,,,
1PBBIA,8013885010219,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,biavetta,12,500 g,€ 0.75,4%,,,,
1PBVER,8013885010165,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,vermicelli,12,500 g,€ 0.75,4%,,,,
1PBFID4,8013885010374,1902.19.10,DURUM WHEAT ITALIAN PASTA                                                                     PASTA DI SEMOLA DI GRANO DURO,vermicelli n. 4,12,500 g,€ 0.75,4%,,,,
1PSPEN,8013885020027,1902.19.10,HALF WHOLE DURUM ITALIAN WHEAT PASTA                                         PASTA DI SEMOLATO DI GRANO DURO,penne,12,500 g,€ 0.75,4%,,,,
1PSFUS,8013885020010,1902.19.10,HALF WHOLE DURUM ITALIAN WHEAT PASTA                                         PASTA DI SEMOLATO DI GRANO DURO,fusilli,12,500 g,€ 0.75,4%,,,,
1PSMICRE,8013885020232,1902.19.10,HALF WHOLE DURUM ITALIAN WHEAT PASTA                                         PASTA DI SEMOLATO DI GRANO DURO,crestine trafilate al bronzo,12,500 g,€ 0.75,4%,,,,
1PSSPA,8013885020225,1902.19.10,HALF WHOLE DURUM ITALIAN WHEAT PASTA                                         PASTA DI SEMOLATO DI GRANO DURO,spaghetti,12,500 g,€ 0.75,4%,,,,
1PSMAC,8013885020133,1902.19.10,HALF WHOLE DURUM ITALIAN WHEAT PASTA                                         PASTA DI SEMOLATO DI GRANO DURO,macaronis,12,500 g,€ 0.75,4%,,,,
1PSNOU,8013885020140,1902.19.10,HALF WHOLE DURUM ITALIAN WHEAT PASTA                                         PASTA DI SEMOLATO DI GRANO DURO,nouilles,12,500 g,€ 0.75,4%,,,,
1PSCOR,8013885020195,1902.19.10,HALF WHOLE DURUM ITALIAN WHEAT PASTA                                         PASTA DI SEMOLATO DI GRANO DURO,cornetti,12,500 g,€ 0.75,4%,,,,
1PSSTE,8013885020188,1902.19.10,HALF WHOLE DURUM ITALIAN WHEAT PASTA                                         PASTA DI SEMOLATO DI GRANO DURO,stelline,12,500 g,€ 0.75,4%,,,,
1PSVER,8013885020164,1902.19.10,HALF WHOLE DURUM ITALIAN WHEAT PASTA                                         PASTA DI SEMOLATO DI GRANO DURO,vermicelli,12,500 g,€ 0.75,4%,,,,
